dataset,algorithm,clusterer,feature,nodes,edges,train_edges,heldout_edges,runtime_sec,community_count,mean_size,modularity,coverage,mean_density,mean_conductance,auc,average_precision,ego_cluster_count,ego_cluster_mean_size,ego_cluster_mean_density,ego_cluster_mean_conductance
enron,EgoNet-CC-W3,CC,W3,36692.0,183831.0,182831.0,1000.0,3.655325833009556,,,,,,,0.9719845,0.9715449191365799,27158.0,12.423742543633551,0.8046050497096373,0.0
enron,EgoNet-CC-W4,CC,W4,36692.0,183831.0,182831.0,1000.0,3.655325833009556,,,,,,,0.9746845,0.9748982716837901,27158.0,12.423742543633551,0.8046050497096373,0.0
enron,Louvain,global,community_common_neighbors,36692.0,183831.0,182831.0,1000.0,1.8007855829782784,1270.0,28.891338582677164,0.6103538820568999,0.740722306392242,0.8817084637168192,0.01892568427368749,0.969258,0.9595698784037819,0.0,0.0,0.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,18771.0,198050.0,197050.0,1000.0,9.851516250055283,,,,,,,0.9725,0.9725,42033.0,9.266885542311993,0.8991363852122549,0.21619519629137282
astro_ph,EgoNet-APM-W2,APM,W2,18771.0,198050.0,197050.0,1000.0,9.851516250055283,,,,,,,0.9725,0.9725,42033.0,9.266885542311993,0.8991363852122549,0.21619519629137282
astro_ph,EgoNet-APM-W3,APM,W3,18771.0,198050.0,197050.0,1000.0,9.851516250055283,,,,,,,0.972,0.972,42033.0,9.266885542311993,0.8991363852122549,0.21619519629137282
astro_ph,EgoNet-APM-W4,APM,W4,18771.0,198050.0,197050.0,1000.0,9.851516250055283,,,,,,,0.9725,0.9725,42033.0,9.266885542311993,0.8991363852122549,0.21619519629137282
astro_ph,EgoNet-CC-W1,CC,W1,18771.0,198050.0,197050.0,1000.0,5.215793624985963,,,,,,,0.9841745,0.984167508325417,22135.0,17.59737971538288,0.7930159047127932,0.0
astro_ph,EgoNet-CC-W2,CC,W2,18771.0,198050.0,197050.0,1000.0,5.215793624985963,,,,,,,0.9845795,0.9848963288873721,22135.0,17.59737971538288,0.7930159047127932,0.0
astro_ph,EgoNet-CC-W3,CC,W3,18771.0,198050.0,197050.0,1000.0,5.215793624985963,,,,,,,0.9814685,0.9813901085588969,22135.0,17.59737971538288,0.7930159047127932,0.0
astro_ph,EgoNet-CC-W4,CC,W4,18771.0,198050.0,197050.0,1000.0,5.215793624985963,,,,,,,0.9841545,0.9844418707089244,22135.0,17.59737971538288,0.7930159047127932,0.0
astro_ph,Louvain,global,community_common_neighbors,18771.0,198050.0,197050.0,1000.0,1.5595487081445754,325.0,57.75692307692308,0.6267329006551274,0.6979243846739406,0.8603425832775429,0.02435350764519057,0.9827845,0.9802633106725194,0.0,0.0,0.0,0.0
